,0
AAPL-TMO,0.021422244848928285
ABT-QCOM,8.654005400437822e-13
ACN-F,0.002515108325669809
ACN-HD,6.919190800106832e-13
ACN-KKR,0.006044901708319183
ACN-MSFT,0.04114388108866757
ADBE-AMGN,7.305792620570168e-13
ADBE-VRTX,4.704383518187936e-14
ADI-HCA,0.020979443416794297
ADI-ORCL,6.449380936261221e-13
ADI-YUM,0.03407873853908257
AMAT-CSCO,0.008133786289068879
AMAT-FOXA,7.499820511256484e-13
AMAT-JPM,0.01117219355610228
AMD-ZTS,4.1235251087961234e-13
AMGN-CRM,1.9308717572859677e-15
AMZN-VRTX,4.004481588477186e-13
AVGO-HLT,0.003048885161730832
AVGO-MAR,1.89855043563287e-13
AXP-HCA,9.422838226435788e-13
AXP-HLT,0.02983794527158606
AXP-RY,0.016974577487951423
AZO-LLY,4.478649493662825e-13
BAC-FOXA,5.258843638886367e-13
BDX-FI,5.739292394888267e-13
BKNG-SYK,0.026833515865348018
BRK-B-HLT,1.5631310923622124e-13
BRK-B-MAR,1.3191030385673457e-13
BX-MSFT,5.513877202039275e-13
C-EA,3.57958889646882e-13
C-VRTX,2.0904749144074168e-12
CB-KLAC,8.462416270066302e-13
CB-MAR,0.010219102104532076
CHTR-VRTX,0.06222697668795994
CMCSA-MDT,8.655687629447602e-13
CMCSA-VRTX,0.002202415541054104
CME-FOXA,7.512725750168378e-13
CME-LYV,0.032696997961090546
CRM-VRTX,2.3378645837307954e-13
DHI-MA,0.0038558622570345497
DHI-V,6.748716468444135e-13
DIS-UBER,0.03225495771564155
DIS-VRTX,3.321871717488986e-13
ELV-IBM,5.631563016490437e-13
ELV-UNH,0.007994492746808095
F-LOW,6.95061245943955e-13
F-MSFT,1.3252011466269417e-11
FI-FLUT,0.03592919495422371
FI-ROST,0.049894509874036826
FI-UBER,0.015406216825903513
FLUT-MELI,0.004765889128286553
FOXA-LYV,0.013250411502652269
GSAT-JNJ,0.007174082833202652
HCA-HLT,6.322099057163887e-13
HCA-KLAC,1.0176896502852483e-12
HCA-MS,1.1187965679581622e-13
HCA-ORCL,0.015747361455801707
HCA-YUM,7.750370192602055e-13
HD-KKR,7.126573818048824e-13
HLT-KLAC,5.50864926772373e-13
HLT-LOW,2.5682253380687945e-13
HLT-RY,3.2881305687289713e-13
HLT-TD,0.14660454353846578
HLT-TMO,0.005506136323820563
IBKR-TJX,8.257419361105444e-13
IBM-JNJ,0.017205138832314466
INTU-KKR,0.003583794153841744
JPM-LRCX,8.543939528787775e-13
KKR-MSFT,0.003596956738660195
KLAC-MAR,2.2881756586483804e-13
KLAC-MS,3.2718742976092376e-13
KLAC-YUM,7.167853536650001e-13
LOW-TMO,0.03013438287867208
LRCX-MA,9.980330071199993e-14
LYV-TSLA,2.2533062016241813e-12
MA-NWSA,0.06363262813254937
MCD-ORLY,0.009588319623989594
MDT-VRTX,0.0039843696333140615
META-VRTX,0.0034713640640545813
MRK-VZ,5.461591187585665e-13
MS-YUM,0.0325931733354008
NKE-NOW,0.0152763034553228
NKE-VRTX,0.005881192557129385
NOW-VRTX,0.01968918139729492
NWSA-V,4.33837573398553e-12
ORCL-TXN,4.946292331286323e-13
ORCL-YUM,0.011302641197574181
PINS-UBER,2.6588745852017204e-13
REGN-VZ,0.006676268715702345
ROST-SBUX,0.0011753804852280222
SCHW-WFC,0.02049992356775083
SPGI-ZTS,0.059764778730429464
SPOT-TTWO,0.02402982949255791
TTWO-VRTX,4.677540134421655e-13
UBER-ZG,4.935602867879545e-12
