,0
AAPL-TMO,0.012211980903869334
ABT-AMAT,6.011826767663402e-11
ABT-AMD,1.981459392712277e-11
ABT-AMGN,2.653153310037276e-12
ABT-F,3.1716875350012114e-13
ABT-GM,4.6651775446478276e-11
ABT-GOOG,0.011280198509680046
ABT-JPM,0.005596023377733182
ABT-LRCX,2.4047343966991496e-12
ABT-MU,5.893806557218696e-13
ABT-NKE,0.013194730628183403
ABT-QCOM,1.1084552335421217e-12
ABT-VRTX,0.002471151052364638
ACN-BAC,4.628663044305235e-11
ACN-GOOG,3.1895650091991815e-12
ACN-HD,3.5615091256330886e-12
ACN-INTU,0.002462073737517199
ACN-KKR,0.007356829767116142
ACN-MSFT,0.03940974719937353
ADBE-AMGN,2.1626342054691506e-12
ADBE-CHTR,3.18123423217637e-12
ADBE-VRTX,1.3561348969628584e-12
ADI-ORCL,3.470352168088413e-12
ADI-YUM,0.0225179677490077
ADP-UNH,0.01343762459037799
AMAT-CSCO,4.799069459930576e-12
AMAT-JPM,0.001728972108902198
AMGN-AMZN,1.2295533851777147e-10
AMGN-BMY,0.049128801146298064
AMGN-CHTR,1.8155768884339302e-10
AMGN-CI,5.556795357964269e-11
AMGN-CMCSA,2.5707841009892923e-12
AMGN-DIS,1.3978445046080221e-11
AMGN-FLUT,0.008991499009227164
AMGN-INTU,4.109370371049509e-12
AMGN-MCK,1.002767510680994e-10
AMGN-MDT,3.6172224280984065e-12
AMGN-META,0.013658882525473405
AMGN-NFLX,3.5852410093292685e-10
AMGN-NOW,0.002844864013413108
AMGN-RCL,1.363705206526496e-10
AMGN-SPOT,1.8490850448879317e-10
AMGN-TTWO,2.753154192451641e-13
AMGN-UBER,1.621543203402486e-10
AMGN-VZ,2.536781442676547e-12
AMGN-WBD,2.3784199769084094e-10
AMGN-ZG,1.726533521377041e-10
AMGN-ZTS,2.948392614230992e-12
AMZN-BMY,1.1542050040781597e-12
AMZN-MCK,8.284817331679861e-11
AMZN-MRK,2.6925719511680162e-12
AMZN-PGR,0.0026688315495536595
AMZN-TTWO,1.4405543161022013e-10
AMZN-VRTX,7.023310949612458e-13
ANET-FWONA,0.0038347357117882535
AVGO-HLT,2.659120437324227e-12
AXP-HCA,6.873594860715958e-11
AXP-HLT,0.011526662525012443
AXP-RY,0.004169596523500648
AZO-MCD,0.003838791479292711
AZO-VZ,3.859053735754994e-12
BAC-FOXA,3.202857167767937e-12
BDX-BMY,2.540116225159624e-12
BDX-BRK-B,1.1526898856679756e-12
BDX-BSX,4.606856383013203e-12
BDX-BX,7.659150204708849e-13
BDX-CB,4.224070257280519e-12
BDX-CHTR,3.8543792919210635e-13
BDX-CMG,1.889831645939336e-12
BDX-CRM,3.692928531770841e-12
BDX-CSCO,3.0372839526264964e-12
BDX-DIS,2.1453108698422893e-12
BDX-EA,2.514546623621595e-12
