,0
AAPL-MAR,0.0
ABT-AMAT,0.0
ABT-AMD,0.0
ABT-BAC,0.0
ABT-CME,3.321914513609295e-12
ABT-FOXA,0.0
ABT-GOOG,0.010044669431705018
ABT-JPM,3.8723063765059595e-12
ABT-MU,0.0
ABT-SCHW,0.0
ABT-VRTX,0.0
ABT-WBD,0.0
ABT-WFC,0.0
ABT-ZTS,0.006508673206221197
ACN-F,0.0004245969553960657
ACN-HD,1.5746989693878327e-12
ACN-INTU,3.6311801040084207e-12
ACN-KKR,0.004574132181760344
ACN-MSFT,0.028856884926425432
ADBE-AMGN,3.7828427637953564e-13
ADBE-VRTX,0.0
ADI-HCA,0.0023267892559148003
ADI-OMC,9.21244709445601e-13
ADI-YUM,0.010810888578489929
ADP-ELV,0.008065564496750215
ADP-IBM,3.1992084597806207e-12
ADP-UNH,0.008004164904064099
AMAT-CSCO,0.0025399011244220033
AMAT-FOXA,9.114975873744076e-13
AMAT-JPM,3.648830058704851e-12
AMD-ZTS,0.0
AMGN-BMY,0.03562807669111573
AMGN-CI,0.0
AMGN-CMCSA,2.1852522915892654e-12
AMGN-CRM,0.0
AMGN-DIS,0.0
AMGN-FLUT,0.0
AMGN-ICE,0.0
AMGN-INTU,0.0007523554943262649
AMGN-LULU,0.0
AMGN-MCK,0.0
AMGN-MDT,1.917153657853224e-12
AMGN-META,0.011966996144035543
AMGN-MRK,2.802455852695219e-12
AMGN-NKE,3.698896848639878e-12
AMGN-PINS,1.5157282099117303e-12
AMGN-RCL,0.0
AMGN-SPGI,8.742093682263458e-14
AMGN-VRTX,0.004408843823919478
AMGN-VZ,8.862256311118766e-13
AMGN-ZTS,2.2138914093002897e-12
AMZN-MDT,2.506204949887984e-12
AMZN-MRK,4.282385258897476e-13
AMZN-PGR,0.0010596805045323691
AMZN-TTWO,3.3867273669574947e-12
AMZN-VRTX,0.0
AVGO-MAR,0.0
AXP-HLT,0.011471013898015026
AXP-RY,2.983737569624176e-12
AZO-MCD,3.580116620129069e-12
AZO-VZ,3.0756618348469633e-12
BAC-FOXA,0.0
BDX-BLK,2.522626247659659e-12
BDX-BRK-B,0.0
BDX-BSX,0.005121420367510241
BDX-CB,3.1858985239730637e-12
BDX-CME,2.7305937475878643e-12
BDX-CSCO,0.0
BDX-DHI,2.3152584886704496e-12
BDX-DHR,3.5208574653805104e-12
BDX-EA,1.3785757456240933e-12
BDX-FI,3.8637664391367483e-13
BDX-FLUT,0.0
BDX-FOXA,0.0
BDX-FWONA,0.00842111345516755
BDX-GOOG,1.8228148139304945e-12
BDX-HCA,3.6511482237494835e-12
BDX-HD,0.0
BDX-HLT,8.53488446496181e-13
BDX-JPM,8.259504679089518e-13
BDX-KKR,0.0
BDX-LOW,1.3851843133766087e-12
BDX-LULU,0.0
BDX-LYV,0.0
BDX-MDT,2.354545505205981e-12
BDX-MMC,2.374154768393353e-12
BDX-MSFT,0.004896089657287763
BDX-MU,1.912482323469333e-12
BDX-NKE,2.8593166842911645e-12
BDX-NOW,2.3909594092397086e-12
BDX-OMC,0.0
BDX-PGR,0.0016999862309707552
BDX-QCOM,0.0
BDX-RCL,0.0
BDX-REGN,0.002950063717934261
BDX-ROST,0.014648564297620412
BDX-RY,4.911282324915126e-13
BDX-SBUX,0.01541631990551426
BDX-SCHW,0.0
BDX-SYK,0.010747814175693001
BDX-T,1.4194720252700617e-12
BDX-TJX,1.1982874540193662e-12
BDX-TMO,0.0034846825244089883
BDX-TMUS,0.018166291173202523
BDX-TSLA,0.0
BDX-TXN,0.03002458831974597
BDX-UBER,0.0
BDX-V,1.7178855340786105e-12
BDX-VRTX,0.0
BDX-VZ,1.4079885904820656e-12
BDX-YUM,1.1222862567700285e-12
BDX-ZTS,1.2048957297114105e-12
BKNG-DHI,0.0
BKNG-LRCX,0.022340014882887258
BKNG-SYK,0.0021330922127757966
BKNG-TXN,0.0
BLK-ISRG,0.0
BLK-VRTX,2.1613270423475457e-12
BRK-B-MAR,0.0
BSX-OMC,0.0
BSX-ORCL,0.0
BSX-TJX,0.027428527760026196
BSX-YUM,0.002352925513598429
BX-MSFT,2.0185591699745488e-12
CB-KLAC,0.0
CB-MAR,0.006388551583802677
CHTR-VRTX,0.03576851528270146
CI-VZ,1.7391338925501956e-12
CMCSA-MDT,1.2107154649605644e-12
CME-LYV,0.008194103222065938
CMG-GILD,3.352897061458726e-12
CMG-GSAT,0.0
CMG-KKR,0.0
CMG-ORCL,0.0
CMG-VZ,2.806597867749697e-12
CRM-META,0.0
CRM-VRTX,0.0
CVS-PFE,0.008545786196558932
DHI-GILD,0.0022204494762968095
DHI-IBKR,0.0
DHI-JPM,0.0
DHI-MA,0.0
DHI-ORCL,0.022364246162616997
DHI-SBUX,8.378440064533375e-14
DHI-V,0.0
DHR-KKR,2.585245011109094e-13
DIS-MDT,0.0565632763453572
EA-ELV,0.003965794774857994
EA-FI,0.0
EA-FLUT,0.0
EA-FOXA,6.820888803581029e-13
EA-FWONA,3.4429522115522494e-12
EA-GILD,3.4425651817134984e-12
EA-GM,0.0
EA-GSAT,3.8153201912474994e-12
EA-HCA,0.0
EA-HD,1.4191171580089142e-12
EA-HLT,0.0
EA-IBM,2.9038110909337113e-12
EA-ICE,0.008911385306801058
EA-JNJ,2.520688965405442e-12
EA-KKR,0.0
EA-LLY,0.0
EA-LOW,0.0
EA-LRCX,2.0016145769399298e-12
EA-LYV,0.0
EA-MA,0.0
EA-MAR,0.0
EA-MCD,3.972133126385883e-12
EA-MDT,2.3421953820365706e-12
EA-MMC,1.0080637090064416e-12
EA-MRK,2.266144734218474e-12
EA-MSFT,2.1963917977577908e-12
EA-MU,2.7496912893411018e-12
EA-NKE,0.0
EA-PGR,0.017834008467140637
EA-QCOM,1.4005365766307975e-12
EA-RCL,0.0
EA-ROST,0.0
EA-SBUX,9.052221516544017e-13
EA-SCHW,3.491277414431943e-12
EA-SYK,2.847652767083259e-12
EA-T,3.8058594711083715e-12
EA-TJX,1.2252569947736183e-13
EA-TMO,0.002335424445735461
EA-TMUS,0.017859717721614606
EA-TXN,1.9465110737369378e-12
EA-UNH,1.2742147880174443e-12
EA-V,1.1472176763217004e-12
EA-VZ,1.835941550809114e-12
EA-YUM,7.422945193569042e-13
EA-ZG,1.901703053975145e-12
ELV-UNH,3.792518451275586e-12
FI-FLUT,0.015391195391530055
FI-FOXA,0.0
FI-GILD,3.448084370287815e-12
FI-GOOG,1.010335437732057e-12
FI-GS,0.009535962489640608
FI-GSAT,0.0
FI-HCA,0.0
FI-HD,0.0
FI-HLT,7.515958011185172e-13
FI-IBM,2.5221189325418697e-12
FI-ICE,2.039964537908491e-13
FI-ISRG,0.0
FI-JNJ,0.006861668170259544
FI-JPM,0.0
FI-KKR,1.6472491411173317e-12
FI-LOW,0.0
FI-LYV,2.7689457594581744e-12
FI-MAR,0.0
FI-MCD,3.654263442545326e-12
FI-MDT,0.004346767473945078
FI-META,0.0
FI-MMC,1.3139171493547067e-12
FI-MU,0.0
FI-NKE,0.0
FI-NWSA,3.4492845082650524e-12
FI-OMC,0.007103122668434579
FI-ORLY,2.1395841668555115e-12
FI-PGR,3.2590731829868735e-12
FI-QCOM,0.0
FI-RCL,0.0
FI-ROST,0.014563082443748975
FI-RY,0.0
FI-SCHW,0.0033818952866869717
FI-TMO,2.191434130566547e-12
FI-TMUS,3.5367399068697314e-12
FI-TXN,0.0
FI-UBER,0.007612191005336975
FI-UNH,0.0
FI-VRTX,0.0
FI-WBD,0.0
FI-YUM,1.434675794644958e-12
FLUT-MELI,0.002862037152457511
FOXA-ICE,0.006725866329311592
FOXA-LRCX,0.0
FOXA-LYV,0.0036806586353937574
FOXA-WFC,5.897604242014496e-14
GM-NWSA,0.01843608671195537
GSAT-HCA,0.0
GSAT-MS,0.0026477445810369525
HCA-HLT,7.987439965238585e-13
HCA-KLAC,0.0
HCA-YUM,2.8724171716192268e-12
